"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
3165,"16.GS.C0.C1.AYT.58.IB","Advanced Yield Trial using 58 accessions in Ibadan selected from 2015/2016.GS.AYT58.UBJ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",3,"Ibadan","2016-May-03","2017-February-24",4,4,NA,18,3,0.2784,NA,NA,2779,"16_Ibadan",NA," No ManagementFactor: "
3166,"16.GS.C0.C1.AYT.58.IK","Advanced Yield Trial using 58 accessions in Ikenne selected from 2015/2016.GS.AYT58.UBJ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-May-08","2017-April-25",4,4,NA,11,3,0.2784,NA,NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3167,"16.GS.C0.C1.AYT.58.MK","Advanced Yield Trial using 58 accessions in Mokwa selected from 2015/2016.GS.AYT58.UBJ ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-June-03","2017-June-07",4,4,NA,11,3,0.2784,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
3168,"16.GS.C0.C1.AYT.58.UB","Advanced Yield Trial using 58 accessions in Ubiaja selected from 2015/2016.GS.AYT58.UBJ ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",5,"Ubiaja","2016-May-19",NA,4,4,NA,18,3,0.2784,NA,NA,2967,"16_Ubiaja",NA," No ManagementFactor: "
3172,"16.GS.C1.C2.PYT.28.IK","Preliminary Yield Trials using 28 accession in Ikenne selected from 15.GS.C1.AYT.42.HDM.UBJ, 15.GS.C1.PYT.20.UBJ and 15.GS.C2.EC.161.UBJ
16.GS.C1.C2.PYT.28.IK
","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-May-01","2017-June-19",2,4,NA,5,2,0.0896,NA,NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3173,"16.GS.C1.C2.PYT.28.MK","Preliminary Yield Trials using 28 accession in Mokwa selected from 15.GS.C1.AYT.42.HDM.UBJ, 15.GS.C1.PYT.20.UBJ and 15.GS.C2.EC.161.UBJ ","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-June-03","2017-June-09",2,4,NA,5,2,0.0896,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
3174,"16.GS.C1.C2.PYT.28.UB","Preliminary Yield Trials using 28 accession in Ubiaja selected from 15.GS.C1.AYT.42.HDM.UBJ, 15.GS.C1.PYT.20.UBJ and 15.GS.C2.EC.161.UBJ ","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",5,"Ubiaja","2016-May-31",NA,2,4,NA,5,2,0.0896,NA,NA,2967,"16_Ubiaja",NA," No ManagementFactor: "
3179,"16.GS.C1.PYT.20.UB","Preliminary Yield Trials using 20 accession in Ubiaja selected from 15.GS.C1.AYT.42.HDM.UBJ, 15.GS.C1.PYT.20.UBJ and 15.GS.C2.EC.161.UBJ","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",5,"Ubiaja","2016-May-31",NA,2,4,NA,2,2,0.064,NA,NA,2967,"16_Ubiaja",NA," No ManagementFactor: "
3010,"16.GS.C1.UYT.34.IB","Uniform Yield Trial  using 34 accessions in Ibadan selected from 15.GS.C1.AYT.29,AYT.28 and AYT.44.
","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",3,"Ibadan","2016-September-22",NA,6,5.5,NA,3,3,0.34272,NA,NA,2779,"16_Ibadan",NA," No ManagementFactor: "
3180,"16.GS.C1.UYT.34.IK","Uniform Yield Trial using 34 accessions in Ikenne selected from 15.GS.C1.AYT.29,AYT.28 and AYT.44. ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-July-16","2017-July-28",6,5.5,NA,3,3,0.34272,"yes",NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3181,"16.GS.C1.UYT.34.MK","Uniform Yield Trial using 34 accessions in Mokwa selected from 15.GS.C1.AYT.29,AYT.28 and AYT.44","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-July-14",NA,6,5.5,NA,3,3,0.34272,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
3182,"16.GS.C1.UYT.34.UB","Uniform Yield Trial using 34 accessions in Ubiaja selected from 15.GS.C1.AYT.29,AYT.28 and AYT.44","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",5,"Ubiaja","2016-July-20","2017-August-08",6,5.5,NA,3,3,0.34272,NA,NA,2967,"16_Ubiaja",NA," No ManagementFactor: "
3183,"16.GS.C1.UYT.34.UM","Uniform Yield Trial using 34 accessions in Umudike selected from 15.GS.C1.AYT.29,AYT.28 and AYT.44. ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",12,"Umudike","2016-July-19","2017-August-03",6,5.5,NA,3,3,0.34272,NA,NA,3028,"16_Umudike",NA," No ManagementFactor: "
3184,"16.GS.C2.AYT.14.res.IB","Advanced yield trial from Ibadan using 14 clones selected from PYT27 and CET Ibadan.","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",3,"Ibadan","2016-July-25",NA,4,4,NA,3,3,0.0672,NA,NA,2779,"16_Ibadan",NA," No ManagementFactor: "
3186,"16.GS.C2.AYT.35.IK","Advanced Yield Trial using 35 accessions in Ikenne selected from 2015_2016.GS.C2.PYT332.IK ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-August-08","2017-July-15",4,4,NA,3,3,0.168,NA,NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3187,"16.GS.C2.AYT.35.MK","Advanced Yield Trial using 35 accessions in Mokwa selected from 2015_2016.GS.C2.PYT332.IK ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-August-10","2017-July-19",4,4,NA,3,3,0.168,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
3024,"16.GS.C2.AYT.39.IK","Advanced Yield Trial  using 39 accessions in Ikenne selected from  2015/2016.GS.C2.PYT338.MK
","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-August-06",NA,4,4,NA,3,3,0.1872,NA,NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3022,"16.GS.C2.AYT.39.MK","Advanced Yield Trial  using 39 accessions in Mokwa selected from  2015_2016.GS.C2.PYT338.MK
","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-August-01","2017-July-19",4,4,NA,3,3,0.1872,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
2997,"16.GS.C2.AYT.43.IB","Advanced yield trial from Ibadan using 43 clones selected from 2015_2016.GS.C2.PYT311.IB.","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",3,"Ibadan","2016-September-03",NA,4,4,NA,3,3,0.2064,NA,NA,2779,"16_Ibadan",NA," No ManagementFactor: "
3021,"16.GS.C2.AYT.43.UB","Advanced Yield Trial using 43 accessions in Ubiaja selected from 2015/2016.GS.C2.PYT311.IB Ikenne.
","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",5,"Ubiaja","2016-August-14","2017-July-22",4,4,NA,3,3,0.2064,NA,NA,2967,"16_Ubiaja",NA," No ManagementFactor: "
3023,"16.GS.C2.extrasel.AYT.29.IK","Advanced Yield Trial using 29 accessions in Ikenne selected from 2015/2016.GS.C2.PYT291(extralsel).IK
","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",32,"Ikenne","2016-August-16","2017-July-19",4,4,NA,3,3,0.1392,NA,NA,2990,"16_Ikenne",NA," No ManagementFactor: "
3030,"16.GS.C2.extrasel.AYT.29.MK","Advanced Yield Trial using 29 accessions in Mokwa selected from 15.GS.C2.PYT.291(extralsel).IK
","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2016,"RCBD",8,"Mokwa","2016-August-10","2017-July-21",4,4,NA,3,3,0.1392,NA,NA,2976,"16_Mokwa",NA," No ManagementFactor: "
